Marital status,Daytime/evening attendance	,Previous qualification,Father's qualification,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,International,Target,Application order,Age,Curricular units 1st sem (without evaluations),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP
1,1,1,3,3,1,0,0,0,1,0,0,2,1,19,0,0,13.9,-0.3,0.79
1,1,1,37,3,1,0,0,1,0,0,0,2,2,20,0,0,9.4,-0.8,-3.12
2,0,1,38,9,0,0,0,1,0,0,0,2,1,45,0,0,13.9,-0.3,0.79
1,1,1,38,10,1,0,0,1,0,1,0,2,1,18,0,0,15.5,2.8,-4.06
1,1,1,1,9,0,0,0,1,0,1,1,2,3,21,0,0,16.2,0.3,-0.92
1,1,1,19,7,1,0,1,0,0,0,0,0,1,18,0,0,8.9,1.4,3.51
1,1,1,19,7,1,0,0,1,0,0,0,2,1,18,0,0,13.9,-0.3,0.79
1,1,1,38,9,1,0,0,1,0,1,0,2,1,18,0,0,12.7,3.7,-1.7
1,1,1,37,9,1,0,0,1,0,0,0,0,2,19,0,0,12.7,3.7,-1.7
1,1,42,1,7,1,0,0,1,0,1,0,2,1,21,0,0,8.9,1.4,3.51
1,1,1,37,5,1,0,0,1,0,1,0,2,1,18,0,0,10.8,1.4,1.74
1,1,1,37,3,1,0,0,1,0,0,0,0,1,20,0,0,15.5,2.8,-4.06
1,1,1,38,8,1,0,0,1,0,0,0,1,1,18,0,0,10.8,1.4,1.74
1,1,1,1,4,1,0,0,1,0,0,0,2,2,18,0,0,15.5,2.8,-4.06
1,1,1,19,5,1,0,0,1,0,0,0,2,1,20,1,2,10.8,1.4,1.74
1,1,1,19,7,1,0,0,1,0,0,0,1,1,18,0,0,16.2,0.3,-0.92
1,1,1,38,7,1,0,0,1,0,0,0,1,4,20,0,0,12.7,3.7,-1.7
1,1,1,19,1,1,0,0,1,0,0,0,2,4,18,0,0,12.7,3.7,-1.7
1,1,1,38,7,1,0,0,1,0,1,0,2,4,19,0,0,11.1,0.6,2.02
1,1,1,19,7,0,0,0,1,0,0,0,2,1,19,0,0,11.1,0.6,2.02
1,1,1,38,9,1,0,1,1,0,1,0,1,1,18,0,0,7.6,2.6,0.32
1,1,1,38,8,1,0,0,1,0,0,0,2,2,21,0,0,16.2,0.3,-0.92
1,1,1,19,3,1,0,0,1,0,0,0,1,1,18,2,0,9.4,-0.8,-3.12
1,1,1,1,9,1,0,0,1,0,0,0,2,1,20,0,0,16.2,0.3,-0.92
1,1,1,3,10,1,0,0,1,1,0,0,1,2,19,0,0,16.2,0.3,-0.92
1,1,39,5,2,0,0,0,1,1,0,0,1,1,21,0,0,16.2,0.3,-0.92
1,1,1,3,124,1,0,0,1,1,0,0,2,1,20,0,0,8.9,1.4,3.51
1,1,1,1,6,0,0,0,0,1,0,0,1,1,18,0,0,8.9,1.4,3.51
1,0,1,1,5,1,0,0,1,0,0,0,2,1,19,0,0,12.4,0.5,1.79
1,0,1,37,9,0,0,0,1,1,0,0,2,1,34,0,0,13.9,-0.3,0.79
1,1,1,37,6,0,0,1,0,1,0,0,0,1,37,0,0,8.9,1.4,3.51
1,1,1,37,6,0,0,0,1,0,0,0,0,1,55,0,2,16.2,0.3,-0.92
4,0,1,19,3,1,0,0,1,0,0,0,2,1,39,0,0,7.6,2.6,0.32
1,1,39,4,6,0,0,1,0,0,0,1,0,1,20,0,0,12.4,0.5,1.79
1,1,1,3,2,0,0,1,1,0,0,0,0,5,18,0,0,12.7,3.7,-1.7
1,1,1,19,7,1,0,0,1,0,0,0,2,2,22,0,0,8.9,1.4,3.51
1,1,1,3,2,1,1,0,1,0,0,0,2,6,22,0,0,11.1,0.6,2.02
1,1,1,38,5,0,0,0,0,0,0,0,0,1,20,0,0,12.4,0.5,1.79
1,0,1,37,9,0,0,0,1,0,0,0,0,1,29,0,0,16.2,0.3,-0.92
1,0,1,38,5,0,0,0,1,0,0,0,1,1,24,0,1,7.6,2.6,0.32
1,1,1,19,9,1,0,0,1,0,0,0,2,2,18,0,0,11.1,0.6,2.02
1,1,1,19,7,1,0,0,1,0,1,0,2,6,22,0,0,11.1,0.6,2.02
1,0,39,19,9,0,0,0,1,0,1,0,2,1,21,0,0,12.4,0.5,1.79
1,1,1,38,9,0,0,0,1,0,1,0,2,1,19,0,0,12.7,3.7,-1.7
1,1,1,38,7,0,0,0,1,0,1,0,2,1,24,0,0,12.4,0.5,1.79
1,1,1,38,6,1,0,0,1,0,1,0,1,1,19,0,0,9.4,-0.8,-3.12
1,1,1,19,7,1,0,0,1,0,1,0,1,1,20,0,0,9.4,-0.8,-3.12
1,1,1,37,90,0,0,0,1,0,0,0,2,3,19,0,0,7.6,2.6,0.32
1,0,1,38,9,0,0,0,1,0,0,0,0,1,27,0,0,9.4,-0.8,-3.12
1,1,1,19,5,1,0,0,1,0,0,0,2,1,18,0,0,15.5,2.8,-4.06
1,1,40,3,2,1,0,0,1,0,0,0,0,1,27,0,0,12.4,0.5,1.79
1,1,1,38,10,1,0,0,1,0,0,0,2,1,18,0,0,9.4,-0.8,-3.12
1,1,1,19,9,0,0,0,1,0,0,0,2,2,18,0,0,16.2,0.3,-0.92
1,1,39,1,9,0,0,0,1,0,1,0,2,1,21,0,0,13.9,-0.3,0.79
1,1,1,1,4,1,0,0,1,1,0,0,1,1,19,0,0,10.8,1.4,1.74
1,1,1,1,3,0,0,0,1,1,0,0,1,1,24,0,0,12.7,3.7,-1.7
4,1,19,1,5,1,0,0,1,1,0,0,0,1,29,0,0,13.9,-0.3,0.79
1,1,39,37,9,1,0,0,1,1,0,0,2,1,23,0,0,8.9,1.4,3.51
1,1,1,38,7,0,0,1,1,1,0,0,0,3,19,0,3,16.2,0.3,-0.92
1,1,1,37,10,0,0,0,1,1,0,0,1,1,26,0,0,12.7,3.7,-1.7
1,1,1,37,5,0,0,0,1,1,0,0,1,1,18,0,0,7.6,2.6,0.32
1,1,1,19,4,0,0,0,1,1,0,0,2,1,24,0,0,13.9,-0.3,0.79
1,1,1,37,7,1,0,0,1,1,0,0,0,4,18,0,0,12.4,0.5,1.79
1,1,1,38,9,1,0,0,1,1,0,0,2,2,18,0,0,10.8,1.4,1.74
1,1,1,19,7,1,0,1,1,1,0,0,0,3,18,0,0,10.8,1.4,1.74
1,1,1,37,7,1,0,0,1,1,1,0,0,4,21,0,0,9.4,-0.8,-3.12
1,1,1,19,8,1,0,1,1,1,1,0,2,4,19,0,0,8.9,1.4,3.51
1,1,1,37,9,0,0,0,1,1,1,0,2,4,22,0,0,16.2,0.3,-0.92
2,0,1,37,6,0,0,0,1,1,0,0,2,1,33,0,0,10.8,1.4,1.74
1,1,1,19,9,1,0,0,1,1,0,0,0,6,20,0,0,10.8,1.4,1.74
1,1,1,19,4,0,0,0,1,1,0,0,1,1,18,0,0,12.7,3.7,-1.7
2,0,1,37,6,1,0,0,1,0,0,0,2,1,33,0,0,9.4,-0.8,-3.12
1,1,1,38,7,1,0,0,1,0,1,0,2,1,22,0,0,10.8,1.4,1.74
1,1,1,19,5,0,0,0,1,0,1,0,2,1,25,0,0,9.4,-0.8,-3.12
1,1,1,38,0,1,0,0,1,1,0,0,2,1,20,1,0,7.6,2.6,0.32
1,1,1,37,9,1,0,0,1,1,0,0,1,6,23,0,0,11.1,0.6,2.02
1,1,1,19,6,1,0,1,1,1,0,0,1,2,18,0,0,15.5,2.8,-4.06
1,1,1,1,9,1,0,0,0,0,0,1,2,2,21,0,0,8.9,1.4,3.51
1,1,1,1,4,0,0,0,1,0,0,1,0,1,26,1,0,8.9,1.4,3.51
2,0,1,19,9,0,0,0,1,0,0,0,2,1,44,0,0,12.7,3.7,-1.7
1,1,1,3,2,1,0,0,1,1,0,1,1,1,19,0,0,13.9,-0.3,0.79
1,1,1,1,5,1,0,0,1,0,0,0,2,5,18,0,0,8.9,1.4,3.51
1,1,1,37,7,1,0,0,1,0,1,0,2,5,18,0,0,12.4,0.5,1.79
1,1,1,2,1,1,0,0,1,0,0,0,1,1,19,2,0,12.7,3.7,-1.7
1,1,1,3,2,1,0,1,0,0,0,0,0,4,19,0,0,13.9,-0.3,0.79
1,1,42,38,9,0,0,0,1,0,0,0,0,1,21,0,0,8.9,1.4,3.51
1,1,1,19,7,1,0,0,1,0,0,0,0,1,19,0,0,11.1,0.6,2.02
1,1,1,38,7,1,0,0,1,0,0,0,0,2,19,0,0,16.2,0.3,-0.92
1,1,1,1,4,1,0,0,1,0,0,0,0,1,20,0,0,15.5,2.8,-4.06
1,1,1,4,3,1,0,0,1,0,0,0,0,5,20,0,0,12.4,0.5,1.79
1,1,1,1,3,1,0,0,1,0,0,0,1,2,20,0,0,16.2,0.3,-0.92
1,1,1,37,7,1,0,0,1,0,0,0,2,1,18,0,0,13.9,-0.3,0.79
1,1,1,38,7,1,0,0,1,0,1,0,1,2,18,0,0,8.9,1.4,3.51
1,1,1,19,9,1,0,0,1,0,0,0,2,1,19,0,0,10.8,1.4,1.74
1,1,1,38,7,1,0,0,1,0,0,0,2,3,18,0,0,10.8,1.4,1.74
1,1,1,37,9,1,0,0,1,0,0,0,0,2,18,1,1,7.6,2.6,0.32
1,1,1,38,5,0,0,0,1,0,0,0,1,1,20,0,0,13.9,-0.3,0.79
1,1,1,37,7,1,0,0,1,0,1,0,1,1,20,0,0,7.6,2.6,0.32
1,1,1,19,3,0,0,0,1,0,0,0,1,1,20,0,0,12.4,0.5,1.79
1,1,1,38,7,0,0,0,1,0,0,0,2,2,18,2,0,9.4,-0.8,-3.12
1,1,1,19,5,0,0,0,1,0,0,0,2,1,18,0,0,11.1,0.6,2.02
1,1,1,1,5,1,0,0,1,0,0,0,0,1,21,0,0,9.4,-0.8,-3.12
1,1,1,19,7,1,0,0,1,0,0,0,2,2,19,0,2,16.2,0.3,-0.92
1,1,1,38,9,0,0,0,1,0,1,0,2,1,19,0,0,9.4,-0.8,-3.12
1,1,1,38,7,1,0,0,1,0,0,0,2,1,19,0,0,15.5,2.8,-4.06
1,1,1,1,5,1,0,0,1,0,0,0,0,6,19,0,0,13.9,-0.3,0.79
1,1,1,38,3,1,0,0,1,0,1,0,1,1,18,0,0,9.4,-0.8,-3.12
1,1,1,39,3,1,0,0,1,0,0,0,2,3,18,0,0,12.4,0.5,1.79
1,1,1,37,9,1,0,0,1,0,0,0,2,6,19,0,0,12.4,0.5,1.79
1,1,1,19,8,1,0,0,1,0,1,0,0,3,18,0,0,13.9,-0.3,0.79
1,1,1,37,9,1,0,0,1,0,0,0,2,2,18,0,0,7.6,2.6,0.32
1,1,1,19,8,1,0,0,1,0,0,0,2,4,19,0,0,8.9,1.4,3.51
1,1,1,19,3,1,0,0,1,0,0,0,0,6,19,0,0,13.9,-0.3,0.79
1,1,1,37,7,0,0,0,1,0,0,0,2,1,20,0,0,7.6,2.6,0.32
1,1,1,38,9,0,0,1,0,0,1,0,0,1,19,0,0,12.4,0.5,1.79
1,1,1,19,5,1,0,0,1,0,0,0,2,1,20,0,0,7.6,2.6,0.32
1,1,1,1,175,0,0,1,1,0,1,0,2,1,18,0,0,8.9,1.4,3.51
1,1,1,1,7,0,0,0,1,0,1,0,1,2,20,0,0,11.1,0.6,2.02
1,1,1,1,8,0,0,0,1,0,0,0,2,1,18,0,0,13.9,-0.3,0.79
1,1,1,37,9,1,0,0,1,0,0,0,2,5,19,0,0,7.6,2.6,0.32
1,1,1,1,4,1,0,0,1,0,1,0,2,6,19,0,0,12.4,0.5,1.79
1,1,1,1,3,1,0,1,0,0,0,0,1,1,22,0,0,8.9,1.4,3.51
1,1,1,12,10,1,0,0,1,0,1,0,2,3,19,0,0,12.4,0.5,1.79
1,1,1,19,7,1,0,0,1,0,1,0,2,3,19,0,0,15.5,2.8,-4.06
1,1,1,38,6,1,0,0,1,0,1,0,2,5,19,0,0,9.4,-0.8,-3.12
1,1,1,37,10,1,0,0,1,0,0,0,0,1,20,0,0,7.6,2.6,0.32
1,1,1,19,10,0,0,0,1,0,0,0,2,1,18,0,0,13.9,-0.3,0.79
1,1,1,19,9,0,0,0,1,0,1,0,2,1,20,0,0,11.1,0.6,2.02
1,1,1,38,7,0,0,0,1,0,0,0,2,1,19,0,0,7.6,2.6,0.32
1,1,1,38,6,1,0,0,1,0,0,0,1,1,18,0,0,9.4,-0.8,-3.12
1,1,1,37,9,1,0,0,1,0,0,0,2,1,18,0,0,7.6,2.6,0.32
1,1,1,37,5,1,0,0,1,0,0,0,0,1,21,0,0,9.4,-0.8,-3.12
1,1,1,37,6,0,0,0,1,0,0,0,0,1,19,0,0,7.6,2.6,0.32
1,1,1,38,9,0,0,0,1,0,1,0,2,1,18,0,0,12.4,0.5,1.79
1,1,1,37,9,1,0,0,1,0,1,0,2,2,18,0,0,12.7,3.7,-1.7
1,1,1,1,10,1,0,0,1,0,0,0,2,3,20,0,0,9.4,-0.8,-3.12
1,0,1,19,8,0,0,0,1,0,1,0,2,1,24,0,0,11.1,0.6,2.02
1,1,1,1,1,0,0,0,1,0,0,0,0,1,19,0,0,10.8,1.4,1.74
1,1,1,37,7,1,0,0,1,0,1,0,2,1,18,0,0,15.5,2.8,-4.06
1,1,1,19,9,1,0,0,1,0,0,0,2,2,18,0,0,15.5,2.8,-4.06
1,1,1,12,4,1,0,0,1,0,0,0,0,5,21,0,0,10.8,1.4,1.74
1,1,1,19,4,0,0,0,1,0,0,0,2,2,19,0,0,7.6,2.6,0.32
1,1,1,37,7,0,0,0,1,0,1,0,2,1,19,0,0,15.5,2.8,-4.06
1,1,1,19,8,0,0,0,1,0,0,0,2,3,19,0,0,13.9,-0.3,0.79
1,1,3,2,1,0,0,0,1,0,0,0,2,1,29,0,0,12.7,3.7,-1.7
1,1,1,19,8,1,0,0,1,0,0,0,0,1,21,0,0,16.2,0.3,-0.92
1,1,1,19,7,1,0,0,1,0,0,0,1,1,28,1,0,12.7,3.7,-1.7
1,1,1,37,10,0,0,0,1,0,0,0,2,2,20,0,0,15.5,2.8,-4.06
1,1,1,38,5,1,0,0,1,0,0,0,2,1,19,0,0,7.6,2.6,0.32
1,0,1,2,6,0,0,0,1,0,0,0,2,1,26,0,0,9.4,-0.8,-3.12
1,1,1,37,8,1,0,1,0,0,0,0,0,2,20,0,0,11.1,0.6,2.02
1,1,1,37,9,1,0,0,1,0,1,0,1,1,18,0,0,7.6,2.6,0.32
1,1,1,19,5,0,0,0,1,0,0,0,2,1,27,0,0,7.6,2.6,0.32
1,1,1,34,90,1,0,0,1,0,0,0,0,2,20,0,0,7.6,2.6,0.32
1,1,1,19,5,1,0,0,1,0,0,0,0,5,18,0,0,9.4,-0.8,-3.12
1,1,3,1,5,0,0,0,1,0,0,0,0,1,33,0,0,16.2,0.3,-0.92
1,1,19,19,4,0,0,1,0,0,0,0,0,1,27,0,0,11.1,0.6,2.02
1,1,1,37,5,1,0,0,0,0,0,0,0,3,19,0,0,15.5,2.8,-4.06
1,1,1,19,6,0,0,0,1,0,0,0,0,2,20,0,0,11.1,0.6,2.02
1,1,1,3,7,1,0,1,0,0,0,0,0,2,20,0,0,10.8,1.4,1.74
1,1,1,37,9,0,0,1,0,0,0,0,1,1,21,0,0,9.4,-0.8,-3.12
1,1,1,1,4,1,0,0,1,0,1,0,2,3,18,0,0,7.6,2.6,0.32
1,1,1,19,9,1,0,0,1,0,0,0,0,1,24,0,0,8.9,1.4,3.51
1,1,1,3,1,1,0,0,1,0,0,0,2,4,20,0,0,16.2,0.3,-0.92
1,1,1,38,8,0,0,0,1,0,1,0,2,1,21,0,0,13.9,-0.3,0.79
1,0,1,37,3,0,0,0,1,0,0,0,1,1,23,0,0,9.4,-0.8,-3.12
1,1,1,3,3,1,0,0,1,0,0,0,0,1,24,0,0,7.6,2.6,0.32
1,1,1,1,10,0,0,0,1,0,0,0,0,1,21,0,0,12.4,0.5,1.79
1,1,1,38,8,1,0,0,1,0,0,0,2,4,18,0,0,12.7,3.7,-1.7
1,0,40,1,4,1,0,0,1,0,0,0,0,1,27,0,0,8.9,1.4,3.51
1,1,1,37,5,1,0,0,1,0,0,0,2,6,18,0,0,9.4,-0.8,-3.12
1,1,1,19,8,0,0,0,1,0,0,0,2,1,18,0,0,11.1,0.6,2.02
1,1,1,3,121,0,0,0,1,0,0,0,1,1,35,0,0,11.1,0.6,2.02
1,1,1,1,7,1,0,0,1,0,0,0,2,1,19,0,2,10.8,1.4,1.74
1,1,1,19,0,1,0,0,1,0,0,0,2,4,20,0,0,7.6,2.6,0.32
1,1,1,19,7,1,0,0,1,0,0,0,2,4,18,0,0,10.8,1.4,1.74
1,1,39,38,10,0,0,1,1,0,0,0,2,1,21,0,0,13.9,-0.3,0.79
